fecha,temp_max,temp_min,precipitacion
2026-04-03,31.0,22.0,7.7
2026-04-04,19.5,14.3,5.2
2026-04-05,19.1,11.2,0.1
2026-04-06,19.6,15.6,21.8
2026-04-07,20.1,17.6,9.6
2026-04-08,21.2,16.0,1.8
2026-04-09,20.8,12.4,0.0
2026-04-10,22.2,11.4,0.0
2026-04-11,22.5,16.5,2.8
2026-04-12,25.2,16.0,0.6
2026-04-13,23.0,15.6,0.0
2026-04-14,24.4,19.4,0.1
2026-04-15,22.4,20.3,20.9
2026-04-16,23.5,18.5,22.1
2026-04-17,24.6,17.4,0.0
2026-04-18,27.0,16.5,0.0
2026-04-19,25.8,17.6,0.0
2026-04-20,21.9,19.8,5.0
2026-04-21,21.0,16.6,14.7
2026-04-22,20.2,11.4,0.0
2026-04-23,21.9,12.1,0.0
2026-04-24,21.2,12.4,0.0
2026-04-25,24.8,14.4,0.0
2026-04-26,17.0,10.6,0.1
2026-04-27,16.4,7.9,0.0
2026-04-28,20.1,7.8,0.0
2026-04-29,23.1,12.9,0.0
2026-04-30,22.4,11.2,0.0
2026-05-01,24.0,16.6,0.0
2026-05-02,17.5,10.2,0.0
2026-05-03,16.0,5.2,0.0
2026-05-04,20.0,10.4,0.0
2026-05-05,19.7,15.4,0.5
2026-05-06,20.8,16.6,4.3
2026-05-07,21.5,15.3,37.8
2026-05-08,14.4,8.4,0.0
2026-05-09,13.2,7.8,0.0
